age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
1,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
1,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,0,US,<=50K
1,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,NonWhite,Male,0,US,>50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
1,NonPrivate,1,Marriedcivspouse,Craftrepair,InFamily,While,Male,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,1,US,<=50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,NonWhite,Female,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,NonUS,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Female,1,NonUS,>50K
1,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,1,US,>50K
1,NonPrivate,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,1,US,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,NonUS,<=50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,NonUS,<=50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
0,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,NonPrivate,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,0,NonUS,<=50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,>50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,1,US,<=50K
0,Private,0,Marriedcivspouse,Craftrepair,InFamily,While,Male,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,>50K
1,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,>50K
0,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,NonWhite,Female,0,US,<=50K
0,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,>50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,0,US,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,NonUS,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,NonPrivate,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
0,NonPrivate,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,0,US,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,NonUS,<=50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
1,Private,0,nonMarriedcivspouse,Craftrepair,NotInFamily,While,Female,0,US,>50K
1,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
1,NonPrivate,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,0,US,<=50K
1,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,1,US,>50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,1,nonMarriedcivspouse,Craftrepair,InFamily,While,Female,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,NonWhite,Female,0,US,<=50K
0,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,NonWhite,Female,0,NonUS,<=50K
0,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
0,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,1,US,<=50K
1,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,>50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,>50K
1,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,NonUS,<=50K
0,NonPrivate,0,nonMarriedcivspouse,NonCraftrepair,InFamily,NonWhite,Male,0,US,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,>50K
1,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,1,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
0,Private,0,nonMarriedcivspouse,Craftrepair,NotInFamily,While,Male,0,US,<=50K
0,NonPrivate,0,Marriedcivspouse,Craftrepair,InFamily,While,Male,0,US,>50K
0,NonPrivate,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,NonPrivate,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
1,NonPrivate,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,NonUS,>50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
1,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
1,NonPrivate,1,Marriedcivspouse,Craftrepair,InFamily,NonWhite,Male,0,US,>50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
0,Private,0,nonMarriedcivspouse,Craftrepair,NotInFamily,While,Male,1,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,NonWhite,Male,0,NonUS,<=50K
0,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,>50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,NonWhite,Male,0,US,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,>50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
0,NonPrivate,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,Private,1,nonMarriedcivspouse,Craftrepair,NotInFamily,While,Male,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,1,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
1,NonPrivate,0,Marriedcivspouse,Craftrepair,InFamily,While,Male,0,US,<=50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
1,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,NonWhite,Female,0,US,<=50K
1,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,NonUS,>50K
1,NonPrivate,0,Marriedcivspouse,Craftrepair,InFamily,While,Male,1,US,<=50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,Private,1,Marriedcivspouse,Craftrepair,InFamily,NonWhite,Male,0,US,>50K
1,NonPrivate,0,Marriedcivspouse,Craftrepair,InFamily,While,Male,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,NonUS,<=50K
1,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,>50K
1,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,NonWhite,Female,0,US,<=50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
1,Private,0,Marriedcivspouse,Craftrepair,InFamily,While,Male,0,US,<=50K
1,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
1,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,NonUS,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,NonWhite,Female,0,NonUS,<=50K
0,Private,0,nonMarriedcivspouse,Craftrepair,InFamily,While,Male,0,US,<=50K
1,NonPrivate,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,1,US,>50K
1,Private,0,Marriedcivspouse,Craftrepair,InFamily,While,Male,1,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,0,US,<=50K
1,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,InFamily,NonWhite,Male,0,US,<=50K
0,Private,0,nonMarriedcivspouse,Craftrepair,NotInFamily,While,Male,1,US,<=50K
1,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,NonWhite,Male,1,US,<=50K
1,NonPrivate,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
1,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,InFamily,NonWhite,Female,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,NonWhite,Female,0,NonUS,<=50K
1,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,NonUS,<=50K
1,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,1,US,<=50K
1,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,0,US,<=50K
0,NonPrivate,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
0,Private,1,nonMarriedcivspouse,Craftrepair,NotInFamily,While,Male,1,US,<=50K
0,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
0,Private,0,nonMarriedcivspouse,Craftrepair,InFamily,NonWhite,Male,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,NonWhite,Male,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
1,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,NonWhite,Male,0,US,>50K
1,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
0,Private,1,nonMarriedcivspouse,Craftrepair,NotInFamily,NonWhite,Male,1,US,<=50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,NonUS,>50K
0,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,>50K
0,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,NonWhite,Male,0,US,<=50K
1,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
1,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,1,US,<=50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Female,1,US,<=50K
1,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
1,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,NonWhite,Female,0,US,<=50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,NonPrivate,1,Marriedcivspouse,Craftrepair,InFamily,NonWhite,Male,0,US,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
1,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,NonUS,<=50K
0,Private,1,nonMarriedcivspouse,Craftrepair,NotInFamily,While,Male,0,US,<=50K
1,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,1,US,>50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
0,NonPrivate,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
0,NonPrivate,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,NonUS,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,>50K
1,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
0,NonPrivate,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,NonWhite,Male,0,US,>50K
0,Private,0,nonMarriedcivspouse,Craftrepair,NotInFamily,While,Male,1,US,<=50K
1,NonPrivate,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,>50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
1,NonPrivate,0,Marriedcivspouse,NonCraftrepair,InFamily,NonWhite,Male,0,US,<=50K
0,Private,0,Marriedcivspouse,Craftrepair,InFamily,While,Male,0,US,>50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,NonWhite,Female,0,US,<=50K
1,Private,0,Marriedcivspouse,Craftrepair,InFamily,NonWhite,Male,0,US,<=50K
1,NonPrivate,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,NonWhite,Male,1,US,>50K
1,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,NonUS,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
0,Private,0,nonMarriedcivspouse,Craftrepair,NotInFamily,While,Male,0,US,<=50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,NonPrivate,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,0,US,<=50K
1,Private,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,NonWhite,Male,0,US,<=50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,NonWhite,Male,0,US,<=50K
1,NonPrivate,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
1,NonPrivate,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,NonWhite,Female,0,US,<=50K
1,NonPrivate,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
1,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,NonUS,<=50K
1,Private,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,NonWhite,Male,0,US,<=50K
1,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,NonWhite,Female,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,1,US,<=50K
0,Private,1,nonMarriedcivspouse,Craftrepair,InFamily,NonWhite,Female,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,1,US,>50K
1,NonPrivate,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,NonUS,>50K
1,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,>50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
1,NonPrivate,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
0,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
0,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,Private,1,nonMarriedcivspouse,Craftrepair,NotInFamily,While,Male,0,US,<=50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,NonUS,<=50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,>50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,>50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,NonUS,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,>50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,NonWhite,Female,0,US,<=50K
1,NonPrivate,0,nonMarriedcivspouse,NonCraftrepair,InFamily,NonWhite,Female,0,US,<=50K
0,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Male,0,US,<=50K
1,NonPrivate,0,Marriedcivspouse,NonCraftrepair,InFamily,NonWhite,Male,0,NonUS,>50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
1,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,1,US,<=50K
1,Private,0,nonMarriedcivspouse,Craftrepair,NotInFamily,While,Male,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,0,Marriedcivspouse,Craftrepair,InFamily,While,Male,0,US,<=50K
0,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,NonWhite,Male,1,NonUS,>50K
0,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,NonUS,<=50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,1,US,<=50K
0,Private,0,Marriedcivspouse,Craftrepair,InFamily,While,Female,0,US,>50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,<=50K
0,NonPrivate,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
1,Private,0,Marriedcivspouse,NonCraftrepair,InFamily,NonWhite,Male,0,US,<=50K
1,Private,1,Marriedcivspouse,Craftrepair,InFamily,While,Male,0,US,>50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,US,<=50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Female,0,US,<=50K
0,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Female,1,US,>50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,0,NonUS,<=50K
1,NonPrivate,1,Marriedcivspouse,Craftrepair,InFamily,While,Male,0,US,>50K
0,Private,1,nonMarriedcivspouse,NonCraftrepair,InFamily,NonWhite,Female,1,US,<=50K
1,Private,1,nonMarriedcivspouse,NonCraftrepair,NotInFamily,While,Female,1,US,<=50K
0,Private,0,nonMarriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,<=50K
1,NonPrivate,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,0,US,>50K
1,Private,1,Marriedcivspouse,NonCraftrepair,InFamily,While,Male,1,US,>50K
